id,outcome1,outcome2,outcome3,numofdraw,jar
102,2,2,2,0,0
103,1,0,2,2,1
104,0,0,2,2,0
105,2,2,2,0,1
106,0,0,2,2,1
107,0,0,2,2,1
108,0,2,2,1,0
109,0,1,1,3,0
110,2,2,2,0,1
111,1,1,0,3,1
112,0,1,2,2,1
113,1,2,2,1,0
114,1,0,2,2,0
115,2,2,2,0,1
116,0,2,2,1,1
117,2,2,2,0,0
118,0,1,1,3,0
119,2,2,2,0,1
120,2,2,2,0,1
121,0,0,0,3,1
122,1,0,1,3,1
123,2,2,2,0,1
124,0,1,2,2,0
125,1,1,1,3,0
126,1,2,2,1,1
127,1,2,2,1,1
128,0,0,2,2,1
129,0,2,2,1,1
130,2,2,2,0,1
131,2,2,2,0,1
132,0,1,2,2,0
133,1,2,2,1,0
134,0,2,2,1,0
135,2,2,2,0,1
136,1,1,0,3,0
137,0,0,2,2,1
138,0,1,2,2,1
139,1,2,2,1,0
140,0,1,2,2,1
141,2,2,2,0,1
142,2,2,2,0,1
143,0,1,1,3,0
144,0,2,2,1,0
145,2,2,2,0,1
146,0,0,0,3,0
147,1,1,0,3,0
148,2,2,2,0,1
149,0,2,2,1,1
150,0,0,2,2,1
151,0,0,0,3,1
152,1,2,2,1,0
153,1,0,1,3,1
154,0,2,2,1,0
155,0,2,2,1,0
156,1,0,2,2,1
157,1,1,2,2,0
158,2,2,2,0,1
159,2,2,2,0,1
160,2,2,2,0,0
161,0,2,2,1,1
162,2,2,2,0,1
163,1,1,0,3,0
164,1,0,2,2,1
165,1,1,2,2,0
166,2,2,2,0,0
167,1,2,2,1,1
168,1,0,2,2,0
169,0,1,1,3,0
170,0,2,2,1,0
171,1,1,2,2,0
172,0,0,1,3,1
173,0,0,2,2,1
174,1,0,1,3,0
175,0,2,2,1,1
176,0,2,2,1,1
177,1,2,2,1,0
178,1,0,1,3,0
179,0,1,2,2,0
180,0,2,2,1,0
181,1,1,0,3,0
182,0,0,1,3,1
183,2,2,2,0,1
184,1,1,2,2,0
185,0,0,1,3,1
186,0,2,2,1,1
187,1,2,2,1,1
188,2,2,2,0,1
189,0,2,2,1,1
190,0,0,2,2,1
191,0,0,2,2,1
192,1,2,2,1,0
193,0,0,2,2,1
194,1,1,2,2,0
195,2,2,2,0,0
196,1,2,2,1,0
197,0,0,2,2,0
198,1,1,1,3,1
199,0,0,2,2,1
200,0,0,0,3,1
201,0,0,0,3,1
202,2,2,2,0,1
203,0,1,2,2,1
204,1,1,2,2,1
205,1,2,2,1,0
206,1,0,2,2,1
207,0,0,0,3,1
208,2,2,2,0,1
209,2,2,2,0,0
210,2,2,2,0,1
211,0,2,2,1,0
212,0,0,2,2,1
213,2,2,2,0,1
214,0,2,2,1,1
215,0,0,0,3,1
216,1,0,1,3,0
217,1,1,0,3,0
218,0,1,1,3,0
219,1,0,2,2,1
220,1,2,2,1,0
221,2,2,2,0,0
222,0,2,2,1,1
223,2,2,2,0,0
224,0,2,2,1,0
225,1,2,2,1,0
226,0,0,2,2,1
227,0,2,2,1,1
228,2,2,2,0,0
229,1,1,2,2,0
230,2,2,2,0,1
231,0,1,1,3,1
232,0,2,2,1,1
233,1,0,0,3,1
234,0,0,2,2,1
235,2,2,2,0,1
236,0,0,0,3,0
237,2,2,2,0,0
238,0,2,2,1,0
239,0,0,2,2,1
240,1,0,2,2,0
241,0,0,2,2,1
242,1,1,2,2,0
243,2,2,2,0,0
244,1,1,0,3,0
245,0,1,2,2,0
246,1,0,0,3,1
247,2,2,2,0,0
248,2,2,2,0,1
249,1,1,2,2,0
250,1,2,2,1,1
251,0,0,2,2,1
252,0,0,2,2,1
253,2,2,2,0,1
254,2,2,2,0,0
255,1,2,2,1,0
256,0,2,2,1,1
257,1,0,1,3,1
258,2,2,2,0,0
259,0,0,1,3,0
260,1,2,2,1,0
261,2,2,2,0,1
262,0,0,2,2,1
263,0,1,2,2,1
264,0,1,2,2,0
265,1,1,2,2,0
266,1,2,2,1,1
267,2,2,2,0,0
268,2,2,2,0,1
269,1,0,0,3,0
270,0,0,0,3,1
271,1,0,2,2,0
272,0,1,1,3,1
273,1,0,2,2,1
274,2,2,2,0,1
275,1,2,2,1,0
276,0,0,2,2,0
277,2,2,2,0,1
278,1,1,2,2,1
279,1,1,1,3,0
280,1,1,1,3,0
281,0,2,2,1,0
282,2,2,2,0,0
283,0,2,2,1,0
284,1,1,2,2,1
285,1,2,2,1,0
286,0,0,0,3,1
287,1,1,0,3,1
288,0,1,2,2,0
289,1,1,2,2,1
290,1,1,1,3,0
291,1,1,2,2,0
292,1,0,1,3,0
293,0,2,2,1,1
294,1,2,2,1,0
295,2,2,2,0,1
296,1,0,1,3,0
297,1,1,1,3,0
298,0,1,0,3,1
299,1,1,2,2,1
300,1,2,2,1,1
301,1,1,2,2,1
302,1,1,1,3,0
303,0,2,2,1,1
304,1,0,2,2,1
305,0,2,2,1,0
306,1,2,2,1,1
307,2,2,2,0,1
308,2,2,2,0,1
309,0,1,2,2,0
310,2,2,2,0,0
311,0,0,0,3,1
312,0,0,2,2,1
313,0,0,2,2,1
314,2,2,2,0,0
315,0,2,2,1,1
316,0,0,0,3,1
317,0,1,2,2,1
318,2,2,2,0,1
319,1,0,1,3,0
320,0,1,2,2,1
321,0,2,2,1,1
322,0,2,2,1,1
323,0,0,1,3,0
324,0,1,2,2,0
325,1,0,2,2,0
326,1,0,0,3,1
327,2,2,2,0,0
328,1,2,2,1,0
329,2,2,2,0,0
330,0,2,2,1,1
331,0,0,1,3,0
332,0,0,2,2,0
333,0,2,2,1,0
334,0,0,0,3,1
335,0,1,1,3,0
336,1,2,2,1,0
337,2,2,2,0,0
338,1,2,2,1,1
339,1,2,2,1,0
340,2,2,2,0,1
341,0,0,1,3,1
342,0,0,0,3,1
343,1,0,1,3,0
344,0,0,0,3,0
345,1,1,2,2,0
346,1,2,2,1,0
347,1,1,1,3,0
348,1,0,2,2,0
349,0,0,2,2,1
350,0,2,2,1,1
351,2,2,2,0,1
352,1,2,2,1,0
353,0,0,0,3,1
354,1,1,2,2,0
355,1,2,2,1,1
356,0,2,2,1,1
357,0,1,2,2,0
358,2,2,2,0,0
359,2,2,2,0,0
360,0,2,2,1,0
361,1,2,2,1,0
362,0,2,2,1,1
363,1,1,2,2,0
364,0,1,2,2,1
365,0,1,2,2,1
366,1,1,2,2,0
367,1,2,2,1,1
368,2,2,2,0,1
369,0,2,2,1,1
370,1,2,2,1,0
371,1,1,0,3,1
372,2,2,2,0,1
373,1,1,2,2,1
374,1,1,1,3,1
375,1,2,2,1,1
376,0,0,2,2,1
377,1,1,1,3,0
378,1,1,2,2,0
379,0,0,2,2,1
380,1,2,2,1,0
381,1,2,2,1,0
382,1,0,2,2,0
383,1,0,2,2,0
384,1,1,1,3,0
385,1,0,0,3,0
386,0,2,2,1,0
387,2,2,2,0,0
388,0,2,2,1,0
389,0,2,2,1,1
390,0,2,2,1,0
391,2,2,2,0,1
392,1,0,2,2,1
393,1,0,2,2,1
394,0,1,0,3,1
395,1,2,2,1,1
396,2,2,2,0,0
397,1,2,2,1,0
398,1,1,2,2,1
399,2,2,2,0,0
400,1,0,1,3,1
401,1,0,2,2,0
402,1,0,2,2,1
403,2,2,2,0,0
404,1,0,2,2,1
405,1,2,2,1,1
406,1,2,2,1,1
407,1,2,2,1,0
408,2,2,2,0,1
409,1,0,2,2,0
410,0,1,2,2,0
411,0,2,2,1,1
412,0,0,2,2,0
413,2,2,2,0,1
414,1,1,2,2,0
415,2,2,2,0,0
416,1,2,2,1,0
417,1,2,2,1,1
418,0,2,2,1,1
419,1,2,2,1,0
420,0,0,2,2,1
421,0,2,2,1,0
422,1,2,2,1,0
423,2,2,2,0,1
424,0,0,2,2,0
425,1,0,2,2,0
426,2,2,2,0,0
427,2,2,2,0,1
428,0,0,2,2,1
429,2,2,2,0,0
430,1,0,0,3,1
431,2,2,2,0,1
432,1,1,2,2,0
433,1,0,2,2,1
434,0,0,0,3,1
435,1,1,0,3,0
436,0,2,2,1,1
437,2,2,2,0,0
438,0,2,2,1,0
439,1,2,2,1,0
440,0,1,0,3,1
441,2,2,2,0,0
442,0,0,2,2,1
443,1,0,0,3,1
444,1,2,2,1,1
445,1,2,2,1,1
446,2,2,2,0,1
447,1,0,2,2,1
448,1,0,0,3,0
449,2,2,2,0,0
450,2,2,2,0,0
451,2,2,2,0,1
452,0,0,2,2,1
453,1,1,0,3,0
454,2,2,2,0,1
455,0,2,2,1,0
456,1,2,2,1,1
457,1,2,2,1,0
458,0,2,2,1,1
459,0,2,2,1,1
460,1,2,2,1,1
461,0,1,1,3,0
462,2,2,2,0,0
463,0,2,2,1,1
464,1,2,2,1,0
465,0,2,2,1,1
466,0,1,0,3,1
467,0,0,2,2,1
468,1,1,0,3,0
469,1,0,2,2,0
470,1,0,2,2,1
471,0,2,2,1,0
472,0,1,2,2,0
473,0,0,2,2,1
474,1,1,0,3,0
475,0,2,2,1,1
476,2,2,2,0,1
477,1,1,2,2,0
478,0,1,0,3,1
479,1,2,2,1,0
480,2,2,2,0,0
481,0,1,2,2,1
482,2,2,2,0,1
483,0,2,2,1,1
484,2,2,2,0,0
485,2,2,2,0,1
486,0,0,0,3,1
487,1,2,2,1,1
488,0,0,2,2,1
489,1,1,1,3,1
490,0,0,0,3,1
491,1,1,2,2,0
492,1,1,2,2,0
493,2,2,2,0,1
494,0,1,2,2,0
495,1,2,2,1,0
496,2,2,2,0,1
497,1,1,2,2,0
498,2,2,2,0,0
499,1,1,2,2,0
500,0,2,2,1,0
501,1,0,0,3,1
502,0,0,2,2,1
503,1,2,2,1,1
504,0,0,1,3,1
505,2,2,2,0,1
506,0,0,1,3,1
507,2,2,2,0,1
508,0,2,2,1,1
509,1,2,2,1,0
510,2,2,2,0,1
511,2,2,2,0,1
512,2,2,2,0,1
513,0,2,2,1,1
514,1,1,1,3,0
515,2,2,2,0,1
516,2,2,2,0,0
517,0,0,2,2,1
518,2,2,2,0,1
519,0,0,0,3,1
520,2,2,2,0,1
521,1,0,2,2,1
522,1,2,2,1,1
523,1,2,2,1,1
524,0,2,2,1,0
525,0,0,2,2,1
526,1,0,0,3,1
527,2,2,2,0,0
528,1,1,1,3,0
529,0,2,2,1,0
530,0,1,1,3,1
531,2,2,2,0,0
532,0,1,0,3,0
533,1,2,2,1,1
534,2,2,2,0,0
535,1,0,0,3,0
536,0,0,0,3,0
537,2,2,2,0,1
538,0,1,1,3,1
539,0,0,2,2,1
540,2,2,2,0,1
541,0,2,2,1,1
542,0,2,2,1,1
543,2,2,2,0,1
544,0,1,2,2,0
545,1,0,2,2,0
546,1,1,1,3,1
547,2,2,2,0,1
548,1,0,1,3,0
549,0,0,1,3,1
550,0,2,2,1,1
551,2,2,2,0,0
552,2,2,2,0,1
553,2,2,2,0,1
554,2,2,2,0,1
555,2,2,2,0,0
556,2,2,2,0,1
557,2,2,2,0,0
558,1,0,0,3,1
559,2,2,2,0,1
560,1,1,2,2,0
561,1,1,0,3,0
562,0,0,0,3,1
563,1,0,2,2,1
564,0,1,1,3,1
565,1,2,2,1,1
566,1,0,1,3,1
567,1,1,2,2,0
568,0,2,2,1,0
569,1,0,2,2,0
570,2,2,2,0,0
571,2,2,2,0,1
572,0,1,1,3,1
573,2,2,2,0,0
574,2,2,2,0,1
575,1,0,1,3,1
576,1,2,2,1,1
577,0,2,2,1,0
578,2,2,2,0,1
579,2,2,2,0,1
580,0,0,0,3,1
581,1,0,0,3,0
582,1,2,2,1,0
583,1,2,2,1,0
584,1,1,1,3,0
585,1,1,1,3,0
586,2,2,2,0,1
587,1,2,2,1,0
588,1,0,2,2,1
589,2,2,2,0,0
590,0,0,2,2,1
591,1,2,2,1,0
592,0,1,1,3,1
593,1,2,2,1,0
594,0,1,1,3,0
595,0,0,1,3,0
596,2,2,2,0,0
597,0,0,1,3,0
598,0,2,2,1,1
599,2,2,2,0,0
600,2,2,2,0,1
601,1,2,2,1,0
602,0,2,2,1,0
603,2,2,2,0,0
604,2,2,2,0,0
605,2,2,2,0,1
606,1,1,2,2,0
607,2,2,2,0,1
608,0,1,2,2,1
609,0,1,0,3,1
610,1,1,0,3,1
611,1,0,0,3,1
612,2,2,2,0,0
613,0,1,2,2,1
614,0,1,2,2,1
615,0,1,2,2,0
616,1,1,2,2,0
617,0,0,2,2,1
618,1,2,2,1,1
619,1,1,2,2,0
620,0,1,2,2,0
621,0,0,0,3,1
622,2,2,2,0,1
623,0,1,2,2,1
624,0,2,2,1,1
625,1,2,2,1,0
626,0,1,2,2,0
627,2,2,2,0,0
628,2,2,2,0,1
629,2,2,2,0,1
630,1,0,1,3,0
631,1,1,1,3,0
632,1,0,1,3,0
633,1,2,2,1,0
634,0,0,1,3,1
635,0,0,2,2,0
636,1,2,2,1,0
637,2,2,2,0,0
638,1,1,0,3,0
639,1,1,0,3,0
640,0,1,1,3,0
641,2,2,2,0,0
642,1,1,1,3,1
643,1,1,1,3,0
644,2,2,2,0,0
645,1,1,2,2,1
646,1,1,2,2,0
647,1,1,1,3,0
648,1,0,0,3,0
649,0,1,2,2,0
650,2,2,2,0,1
651,2,2,2,0,0
652,1,1,2,2,0
653,2,2,2,0,1
654,0,2,2,1,1
655,2,2,2,0,1
656,2,2,2,0,0
657,1,2,2,1,0
658,0,0,1,3,1
659,1,0,1,3,0
660,0,0,2,2,0
661,0,1,1,3,1
662,1,0,2,2,0
663,0,1,0,3,1
664,1,1,0,3,0
665,1,0,1,3,0
666,2,2,2,0,1
667,2,2,2,0,1
668,0,1,0,3,1
669,0,2,2,1,1
670,1,2,2,1,0
671,0,1,1,3,0
672,2,2,2,0,1
673,1,0,2,2,0
674,1,0,0,3,1
675,1,1,2,2,0
676,1,1,0,3,1
677,2,2,2,0,1
678,1,1,2,2,1
679,1,0,0,3,1
680,0,2,2,1,1
681,0,0,0,3,1
682,1,0,2,2,1
683,1,2,2,1,0
684,0,2,2,1,1
685,1,1,2,2,0
686,2,2,2,0,0
687,0,0,2,2,0
688,0,0,2,2,1
689,2,2,2,0,0
690,1,2,2,1,0
691,0,2,2,1,0
692,2,2,2,0,1
693,0,2,2,1,0
694,2,2,2,0,0
695,2,2,2,0,1
696,0,0,2,2,1
697,1,0,1,3,0
698,1,1,2,2,0
699,2,2,2,0,0
700,1,2,2,1,1
701,2,2,2,0,1
702,1,0,2,2,0
703,2,2,2,0,0
704,1,2,2,1,1
705,0,0,2,2,1
706,1,2,2,1,1
707,0,0,2,2,0
708,1,1,2,2,0
709,0,1,2,2,0
710,2,2,2,0,0
711,2,2,2,0,1
712,0,0,2,2,1
713,0,0,2,2,1
714,2,2,2,0,1
715,0,1,0,3,1
716,2,2,2,0,0
717,0,2,2,1,1
718,2,2,2,0,1
719,1,1,2,2,1
720,0,0,2,2,0
721,2,2,2,0,1
722,0,1,1,3,0
723,0,2,2,1,0
724,0,0,2,2,1
725,1,2,2,1,0
726,0,2,2,1,1
727,0,2,2,1,1
728,0,1,1,3,0
729,0,2,2,1,0
730,1,1,1,3,0
731,1,0,1,3,0
732,0,0,0,3,1
733,0,2,2,1,0
734,2,2,2,0,1
735,1,2,2,1,0
736,0,1,2,2,1
737,0,0,2,2,1
738,0,2,2,1,1
739,0,1,1,3,1
740,1,0,2,2,1
741,0,2,2,1,0
742,0,1,1,3,0
743,0,0,0,3,1
744,2,2,2,0,1
745,0,2,2,1,1
746,0,1,0,3,1
747,1,1,2,2,0
748,1,0,1,3,1
749,0,0,0,3,0
750,2,2,2,0,1
751,2,2,2,0,0
752,0,0,2,2,0
753,0,2,2,1,0
754,0,1,2,2,1
755,1,1,2,2,0
756,2,2,2,0,0
757,1,0,0,3,1
758,1,1,1,3,0
759,2,2,2,0,0
760,1,0,1,3,0
761,1,0,2,2,1
762,0,2,2,1,1
763,0,0,2,2,1
764,2,2,2,0,0
765,0,1,2,2,1
766,1,2,2,1,0
767,1,1,2,2,0
768,2,2,2,0,1
769,0,2,2,1,1
770,0,0,2,2,1
771,0,1,0,3,1
772,2,2,2,0,1
773,0,2,2,1,1
774,1,1,1,3,1
775,0,0,2,2,1
776,0,0,2,2,1
777,0,0,2,2,1
778,2,2,2,0,0
779,2,2,2,0,1
780,1,1,2,2,0
781,0,0,0,3,1
782,0,0,2,2,1
783,0,0,1,3,0
784,1,0,1,3,1
785,0,0,1,3,0
786,2,2,2,0,1
787,0,1,0,3,0
788,1,1,2,2,0
789,0,1,1,3,0
790,2,2,2,0,0
791,1,0,1,3,0
792,0,2,2,1,0
793,1,1,0,3,1
794,2,2,2,0,0
795,0,0,1,3,0
796,2,2,2,0,0
797,2,2,2,0,0
798,0,1,2,2,0
799,0,2,2,1,1
800,1,1,2,2,1
801,2,2,2,0,0
802,2,2,2,0,1
803,2,2,2,0,0
804,2,2,2,0,1
805,2,2,2,0,1
806,1,1,1,3,0
807,0,2,2,1,1
808,0,0,1,3,1
809,0,0,0,3,1
810,1,2,2,1,0
811,2,2,2,0,0
812,1,0,2,2,1
813,0,1,0,3,0
814,0,2,2,1,0
815,2,2,2,0,0
816,1,1,2,2,1
817,2,2,2,0,0
818,2,2,2,0,0
819,1,2,2,1,0
820,2,2,2,0,1
821,0,1,2,2,1
822,0,2,2,1,1
823,2,2,2,0,1
824,2,2,2,0,1
825,2,2,2,0,1
826,2,2,2,0,1
827,1,2,2,1,0
828,2,2,2,0,1
829,2,2,2,0,0
830,0,2,2,1,1
831,1,0,0,3,0
832,2,2,2,0,0
833,2,2,2,0,1
834,0,1,2,2,1
835,2,2,2,0,1
836,0,1,2,2,0
837,1,0,2,2,0
838,2,2,2,0,0
839,2,2,2,0,1
840,1,1,2,2,0
841,1,2,2,1,1
842,1,1,2,2,0
843,1,1,0,3,0
844,2,2,2,0,0
845,1,0,1,3,0
846,0,1,1,3,1
847,0,0,2,2,1
848,1,2,2,1,0
849,1,1,1,3,0
850,0,2,2,1,1
851,2,2,2,0,1
852,0,2,2,1,1
853,2,2,2,0,0
854,1,1,2,2,0
855,0,0,2,2,1
856,0,0,2,2,1
857,2,2,2,0,1
858,0,0,0,3,1
859,2,2,2,0,1
860,0,2,2,1,1
861,1,1,2,2,0
862,1,2,2,1,0
863,2,2,2,0,0
864,1,2,2,1,0
865,0,2,2,1,1
866,0,1,2,2,1
867,0,0,2,2,0
868,0,2,2,1,0
869,0,0,0,3,1
870,2,2,2,0,0
871,0,2,2,1,0
872,1,1,2,2,0
873,2,2,2,0,1
874,0,2,2,1,0
875,2,2,2,0,1
876,1,1,2,2,0
877,1,2,2,1,0
878,1,0,2,2,1
879,2,2,2,0,0
880,0,2,2,1,1
881,1,1,2,2,0
882,2,2,2,0,0
883,0,2,2,1,1
884,1,0,2,2,0
885,0,1,0,3,0
886,1,2,2,1,1
887,1,2,2,1,0
888,1,2,2,1,0
889,0,1,2,2,0
890,0,2,2,1,0
891,1,0,0,3,1
892,0,0,0,3,1
893,1,1,0,3,1
894,2,2,2,0,1
895,2,2,2,0,0
896,0,2,2,1,0
897,0,2,2,1,1
898,2,2,2,0,1
899,1,1,0,3,0
900,0,1,2,2,0
901,1,1,0,3,1
902,1,2,2,1,1
903,0,0,2,2,0
904,2,2,2,0,0
905,1,0,2,2,0
906,1,0,2,2,0
907,2,2,2,0,1
908,0,0,2,2,1
909,0,0,0,3,1
910,0,2,2,1,1
911,0,1,1,3,0
912,1,1,0,3,0
913,2,2,2,0,1
914,0,2,2,1,1
915,2,2,2,0,0
916,0,1,0,3,1
917,1,0,1,3,1
918,1,1,0,3,0
919,1,1,1,3,0
920,0,1,2,2,1
921,0,0,0,3,1
922,2,2,2,0,0
923,2,2,2,0,1
924,1,0,2,2,0
925,2,2,2,0,0
926,1,1,2,2,0
927,1,1,1,3,0
928,0,0,2,2,1
929,1,2,2,1,0
930,2,2,2,0,0
931,0,2,2,1,1
932,0,2,2,1,1
933,0,2,2,1,0
934,1,0,1,3,1
935,1,1,0,3,0
936,2,2,2,0,1
937,2,2,2,0,0
938,0,1,1,3,1
939,1,1,0,3,1
940,2,2,2,0,0
941,1,2,2,1,0
942,1,0,0,3,0
943,0,2,2,1,0
944,1,0,0,3,1
945,0,2,2,1,1
946,0,1,2,2,0
947,0,1,2,2,1
948,0,0,0,3,1
949,0,2,2,1,1
950,2,2,2,0,1
951,0,0,0,3,1
952,1,1,2,2,0
953,1,2,2,1,0
954,0,0,2,2,1
955,0,1,1,3,0
956,0,0,2,2,1
957,2,2,2,0,0
958,2,2,2,0,0
959,0,2,2,1,1
960,1,1,2,2,0
961,1,2,2,1,0
962,0,2,2,1,1
963,0,1,1,3,0
964,0,1,0,3,0
965,1,1,1,3,0
966,0,1,2,2,0
967,0,0,0,3,1
968,2,2,2,0,1
969,1,0,2,2,1
970,1,2,2,1,0
971,1,2,2,1,0
972,2,2,2,0,1
973,0,2,2,1,0
974,0,0,1,3,1
975,1,0,0,3,1
976,2,2,2,0,1
977,0,1,2,2,0
978,2,2,2,0,0
979,0,2,2,1,1
980,1,0,2,2,0
981,0,2,2,1,0
982,2,2,2,0,1
983,0,2,2,1,1
984,2,2,2,0,0
985,0,2,2,1,0
986,0,2,2,1,0
987,1,2,2,1,1
988,1,2,2,1,1
989,0,0,0,3,1
990,0,2,2,1,1
991,0,1,0,3,0
992,1,1,2,2,1
993,2,2,2,0,0
994,1,0,2,2,0
995,2,2,2,0,1
996,1,1,1,3,0
997,0,0,0,3,1
998,1,1,2,2,0
999,2,2,2,0,0
1000,1,0,0,3,1
1001,2,2,2,0,1
1002,1,2,2,1,0
1003,2,2,2,0,1
1004,0,2,2,1,1
1005,2,2,2,0,0
1006,2,2,2,0,0
1007,2,2,2,0,0
1008,2,2,2,0,1
1009,2,2,2,0,1
1010,0,0,0,3,1
1011,1,2,2,1,1
1012,0,1,1,3,0
1013,2,2,2,0,1
1014,1,1,2,2,0
1015,0,2,2,1,1
1016,2,2,2,0,0
1017,0,1,1,3,0
1018,0,1,2,2,0
1019,0,0,2,2,0
1020,1,1,2,2,0
1021,1,2,2,1,1
1022,0,0,1,3,1
1023,1,0,1,3,1
1024,1,1,2,2,0
1025,0,0,2,2,1
1026,1,0,2,2,0
1027,0,0,0,3,1
1028,0,1,1,3,0
1029,2,2,2,0,0
1030,2,2,2,0,1
1031,0,2,2,1,0
1032,1,2,2,1,0
1033,1,1,0,3,1
1034,0,2,2,1,1
1035,1,2,2,1,1
1036,2,2,2,0,0
1037,0,0,1,3,1
1038,1,2,2,1,0
1039,1,0,2,2,0
1040,2,2,2,0,1
1041,2,2,2,0,1
1042,1,1,1,3,0
1043,0,1,2,2,1
1044,1,1,2,2,0
1045,2,2,2,0,0
1046,2,2,2,0,1
1047,2,2,2,0,1
1048,1,0,2,2,0
1049,1,0,1,3,1
1050,2,2,2,0,0
1051,2,2,2,0,0
1052,1,0,1,3,1
1053,2,2,2,0,0
1054,2,2,2,0,0
1055,0,1,0,3,1
1056,0,0,2,2,0
1057,1,2,2,1,0
1058,2,2,2,0,0
1059,1,2,2,1,0
1060,0,2,2,1,1
1061,0,2,2,1,0
1062,2,2,2,0,0
1063,2,2,2,0,1
1064,2,2,2,0,1
1065,1,1,0,3,0
1066,1,1,1,3,0
1067,1,2,2,1,1
1068,1,1,0,3,0
1069,0,0,2,2,1
1070,0,2,2,1,0
1071,0,0,0,3,1
1072,1,1,1,3,0
1073,0,1,2,2,0
1074,1,1,0,3,0
1075,1,1,0,3,1
1076,1,2,2,1,0
1077,1,0,2,2,1
1078,2,2,2,0,1
1079,0,1,0,3,1
1080,1,0,2,2,1
1081,0,2,2,1,1
1082,0,0,2,2,1
1083,0,0,0,3,1
1084,2,2,2,0,0
1085,0,0,0,3,1
1086,1,2,2,1,1
1087,1,1,2,2,0
1088,0,1,2,2,1
1089,0,2,2,1,1
1090,2,2,2,0,1
1091,2,2,2,0,0
1092,2,2,2,0,0
1093,0,0,2,2,1
1094,0,0,2,2,1
1095,0,1,0,3,0
1096,0,0,0,3,1
1097,0,1,2,2,0
1098,1,1,2,2,1
1099,1,1,0,3,0
1100,2,2,2,0,0
1101,0,0,0,3,1
1102,0,2,2,1,1
1103,1,2,2,1,0
1104,0,0,2,2,1
1105,2,2,2,0,1
1106,0,0,2,2,1
1107,2,2,2,0,1
1108,1,0,1,3,0
1109,1,0,1,3,1
1110,1,1,1,3,0
1111,0,0,2,2,0
1112,1,1,2,2,0
1113,2,2,2,0,0
1114,2,2,2,0,0
1115,0,2,2,1,1
1116,2,2,2,0,0
1117,1,2,2,1,1
1118,2,2,2,0,1
1119,1,0,1,3,0
1120,0,1,1,3,0
1121,1,0,2,2,0
1122,0,1,0,3,0
1123,2,2,2,0,1
1124,2,2,2,0,1
1125,2,2,2,0,1
1126,2,2,2,0,0
1127,0,2,2,1,1
1128,0,1,2,2,1
1129,0,2,2,1,1
1130,2,2,2,0,0
1131,2,2,2,0,0
1132,0,2,2,1,1
1133,1,2,2,1,0
1134,2,2,2,0,1
1135,1,0,0,3,1
1136,1,2,2,1,0
1137,2,2,2,0,0
1138,0,2,2,1,1
1139,2,2,2,0,1
1140,0,0,2,2,1
1141,1,1,1,3,0
1142,1,2,2,1,0
1143,2,2,2,0,1
1144,2,2,2,0,0
1145,0,2,2,1,1
1146,1,1,2,2,1
1147,0,2,2,1,1
1148,0,1,0,3,0
